Dealer_Code,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target_R,Percentage_PT_Dist,Category_Overall
SIPA368,13,22,23,15,16,0,22,20,18,11,6,13,20,15,15,15,15,15,20,20,20,20,24,15,HHHLLH,AANNNN,Low Achievement,20,0.0016570008285004142,Emerging Performer
SIPA373,0,0,0,41,21,21,30,28,30,0,51,30,50,30,30,40,50,40,25,25,25,20,30,25,HHHLHH,AAANAA,High Achievement,45,0.003728251864125932,Consistently Strong Performer
SIPA375,0,24,15,13,20,12,0,13,12,12,11,11,12,10,12,12,15,15,10,10,10,10,12,12,LLLHLH,NAAANN,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA377,0,16,0,20,0,13,15,14,0,15,15,13,12,10,12,12,12,12,10,10,10,10,12,12,HHLHHH,AANAAA,High Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA378,13,0,12,12,13,0,12,13,0,12,0,11,12,10,10,12,12,12,10,10,10,10,10,10,HHLHLH,AANANA,Moderate Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA382,10,10,7,0,0,11,9,20,10,13,12,12,12,5,10,12,15,15,10,10,10,10,12,12,HHHHHL,NANANN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA384,15,10,24,7,12,12,10,0,0,13,13,0,10,10,12,15,20,20,15,15,20,10,12,12,LLLHHL,NNNAAN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA385,13,11,0,12,9,0,12,0,11,6,10,0,12,10,12,12,12,12,10,10,10,10,10,12,HLHLHL,ANANAN,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA386,10,13,12,0,11,0,13,13,0,11,13,0,12,10,10,5,10,10,10,10,10,10,12,12,HHLHHL,AANAAN,Moderate Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA387,13,0,27,13,0,12,12,13,11,13,12,15,12,10,10,12,10,10,10,10,10,10,15,15,HHLHHH,AAAANA,High Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA389,20,21,25,0,24,0,25,20,25,0,16,20,24,20,20,20,25,20,20,20,20,20,25,15,HHHLHH,AAANNA,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA391,51,25,48,30,26,20,29,0,54,0,0,39,50,60,55,50,55,60,60,60,50,50,0,0,LLHLLH,NNANAA,Moderate Achievement,50,0.004142502071251036,Fluctuating Performer
SIPA393,24,24,24,0,12,0,12,12,0,13,12,11,24,24,24,24,24,20,30,30,20,20,24,12,LLLHHH,NNNNNN,No Achievement,15,0.0012427506213753107,Declining Performer
SIPA395,51,77,95,30,49,12,56,25,27,25,26,15,60,60,60,65,70,55,65,65,50,50,55,55,HLLLLL,NNNNNN,No Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA396,19,33,21,15,25,0,25,25,0,21,20,5,35,25,25,25,30,30,20,20,20,20,25,20,HHLHHL,AANANN,Moderate Achievement,30,0.0024855012427506215,Emerging Performer
SIPA400,38,38,39,12,12,25,39,39,38,25,41,24,25,30,30,30,30,30,35,35,35,35,40,30,HHHLHL,AAANAN,Moderate Achievement,35,0.002899751449875725,Consistently Strong Performer
SIPA402,10,19,10,15,16,0,20,16,21,19,20,20,20,10,12,15,15,15,15,15,20,20,20,20,HHHHHH,AAANNA,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA403,0,12,37,0,12,0,20,13,12,20,12,20,20,10,12,20,24,20,15,15,20,20,20,15,HLLHLH,ANNANA,Moderate Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA404,25,33,44,23,22,32,36,0,0,0,24,24,24,30,30,30,30,30,35,35,20,20,24,20,HLLLHH,ANNNNA,Low Achievement,35,0.002899751449875725,Declining Performer
SIPA406,25,25,26,0,24,20,0,20,30,0,8,26,26,20,20,20,20,20,25,25,20,20,25,15,LHHLLH,NNANNA,Low Achievement,30,0.0024855012427506215,Fluctuating Performer
SIPA407,0,0,0,12,13,12,13,13,10,10,12,12,15,10,10,12,12,12,10,10,10,10,12,12,HHLLLH,AAAANN,Moderate Achievement,15,0.0012427506213753107,Target-Oriented Performer
SIPA408,0,0,20,21,0,11,13,0,23,20,0,20,25,20,20,20,25,25,20,20,20,20,20,20,HLHHLH,NNANNN,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA410,0,18,32,0,12,0,14,16,19,21,18,20,17,12,12,15,17,20,15,15,20,20,20,15,HHHHHH,NANANA,Moderate Achievement,25,0.002071251035625518,Emerging Performer
SIPA413,25,25,26,25,12,12,12,27,36,20,49,31,25,24,24,24,30,24,30,30,35,20,24,30,LHHLHH,NNAAAA,Moderate Achievement,40,0.0033140016570008283,Consistently Strong Performer
SIPA414,0,0,0,20,0,15,20,21,13,20,0,26,30,25,25,10,30,15,20,20,20,20,25,12,HHHHLH,AANANA,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA418,61,61,80,65,56,63,57,52,52,50,50,25,60,50,60,90,90,80,50,50,50,50,60,60,LLLLLL,AAAANN,Moderate Achievement,50,0.004142502071251036,Target-Oriented Performer
SIPA419,31,24,48,30,10,14,44,45,30,0,20,25,60,50,50,60,60,60,45,45,50,50,50,30,HHLLLL,NANNNN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPA420,6,20,14,0,9,0,16,15,20,20,20,10,12,10,12,12,15,15,15,15,20,20,20,12,HHHHHL,ANNANN,Low Achievement,20,0.0016570008285004142,Emerging Performer
SIPA421,0,0,20,13,18,23,0,0,20,12,0,0,12,15,15,25,15,12,10,10,10,10,15,11,LLHHLL,NNAANN,Low Achievement,20,0.0016570008285004142,Consistently Weak Performer
SIPA422,0,0,0,0,12,0,0,0,0,0,26,0,20,10,10,10,10,12,10,10,10,10,12,10,LLLLHL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA425,0,0,24,74,0,0,32,26,49,67,0,52,30,30,30,60,50,60,25,25,25,50,70,30,HHHHLH,AAAANA,High Achievement,65,0.005385252692626346,Consistently Strong Performer
SIPA426,10,20,41,30,16,16,20,30,41,21,10,10,40,15,15,30,25,25,25,25,35,35,40,30,LHHLLL,NAANNN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPA427,14,14,12,11,0,12,14,16,16,22,25,13,12,12,12,12,12,12,15,15,20,20,20,12,HHHHHL,NANAAA,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA428,92,121,104,95,62,91,108,122,114,123,94,91,70,100,100,120,110,110,110,110,110,110,110,110,HHHHLL,NAAANN,Moderate Achievement,110,0.009113504556752278,Emerging Performer
SIPA429,13,0,24,0,0,10,0,6,0,12,0,0,12,10,12,12,12,12,15,15,10,10,12,12,LLLHLL,NNNANN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA430,40,36,15,14,0,31,13,13,31,25,0,20,30,25,25,25,30,30,30,30,35,20,24,20,LLHHLH,NNNANN,Low Achievement,30,0.0024855012427506215,Fluctuating Performer
SIPA431,0,0,20,10,0,0,0,0,11,10,0,15,40,20,20,15,25,10,20,20,20,10,12,12,LLHHLH,NNNANA,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA432,0,0,0,13,0,0,0,0,2,12,14,2,10,10,10,12,20,12,10,10,10,10,10,12,LLHHHL,NNNAAN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA433,7,10,0,13,0,12,0,12,0,10,13,6,6,10,10,10,12,10,10,10,10,10,10,10,LHLHHL,NANAAN,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA434,0,23,0,11,10,3,11,0,0,0,0,12,12,10,12,12,15,15,10,10,10,10,10,10,HLLLLH,ANNNNA,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA435,0,0,31,30,0,16,15,26,20,23,0,29,30,30,30,35,30,30,25,25,20,20,25,25,HHHHLH,NAAANA,Moderate Achievement,30,0.0024855012427506215,Consistently Strong Performer
SIPA438,91,81,101,13,53,89,121,122,0,110,103,0,110,100,100,100,100,100,120,120,110,110,110,90,HHLHHL,AANNNN,Low Achievement,115,0.009527754763877383,Emerging Performer
SIPA440,25,30,32,0,31,25,26,0,36,25,0,29,20,20,20,25,25,25,22,22,20,20,25,20,HLHHLH,ANAANA,Moderate Achievement,35,0.002899751449875725,Consistently Strong Performer
SIPA441,0,12,10,12,16,12,15,15,21,0,11,12,12,10,10,12,15,15,15,15,20,20,20,15,HHHLLL,AAANNN,Moderate Achievement,20,0.0016570008285004142,Momentum Gainer
SIPA442,0,0,0,12,0,13,0,0,11,12,0,13,12,0,0,12,12,12,10,10,10,10,12,12,LLHHLH,NNAANA,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA443,0,12,0,0,0,0,12,12,0,0,0,5,12,10,12,12,12,12,10,10,10,10,10,5,HHLLLH,NNNNNN,No Achievement,0,0.0,Declining Performer
SIPA444,13,17,21,12,0,0,14,15,16,14,0,12,24,15,15,15,20,20,20,20,20,20,20,20,HHHHLH,NNNNNN,No Achievement,15,0.0012427506213753107,Emerging Performer
SIPA445,12,12,20,20,19,21,12,22,13,19,20,20,20,20,20,20,20,20,20,20,35,20,20,20,LHLHHH,NANNNN,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA446,51,60,67,45,33,43,50,52,51,55,55,30,40,30,40,45,50,50,50,50,50,50,50,50,HHHHHL,AAAAAN,High Achievement,60,0.004971002485501243,Consistently Strong Performer
SIPA447,43,20,16,15,30,0,19,0,20,12,14,19,15,15,15,15,20,20,20,20,20,20,20,15,HLHLLH,NNANNA,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA448,14,13,14,17,15,16,20,0,19,20,11,0,12,12,12,12,12,12,15,15,20,20,20,15,HLHHLL,ANNANN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA451,0,0,50,33,0,10,40,40,24,77,31,50,60,40,40,60,60,70,40,40,40,40,60,35,HHLHLH,AANANA,Moderate Achievement,60,0.004971002485501243,Consistently Strong Performer
SIPA452,11,0,23,16,5,4,10,0,19,12,12,11,20,15,15,15,20,20,15,15,20,10,12,12,HLHHHH,NNNANN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA454,43,30,42,21,26,25,50,56,0,20,30,30,40,40,40,40,40,40,50,50,50,20,30,30,HHLLHL,AANNAN,Moderate Achievement,35,0.002899751449875725,Fluctuating Performer
SIPA458,0,0,,,,,,,,,,2,12,0,0,0,0,0,0,0,0,0,0,5,HHHHHH,AAAAAN,High Achievement,0,0.0,Consistently Strong Performer
SIPA459,0,0,5,0,0,0,0,0,0,0,0,11,12,0,5,12,10,5,10,10,10,10,12,0,LLLHHH,NNNNNA,Low Achievement,0,0.0,Declining Performer
SIPA460,0,9,0,0,6,0,0,5,0,2,0,0,6,0,0,6,6,6,10,10,10,10,10,10,LHLHLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA461,10,23,15,24,14,0,25,14,0,24,25,14,5,10,10,15,15,15,10,10,10,10,15,15,HLLHHL,AANAAN,Moderate Achievement,25,0.002071251035625518,Target-Oriented Performer
SIPA463,9,10,10,9,4,10,9,14,10,12,13,12,15,10,10,12,12,12,10,10,10,10,10,10,HHHHHH,NAAAAA,High Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA464,0,0,0,0,12,0,0,0,0,12,0,0,20,10,10,15,20,12,0,10,10,10,10,10,LLLHLL,ANNNNN,Low Achievement,0,0.0,Consistently Weak Performer
SIPA465,35,40,36,42,25,20,20,0,42,40,34,20,30,30,24,30,40,24,25,25,35,20,30,30,LLHHHL,NNAAAN,Moderate Achievement,40,0.0033140016570008283,Momentum Gainer
SIPA467,6,7,10,8,16,0,10,10,12,11,0,5,6,10,10,10,10,10,10,10,10,10,10,10,HHHHLL,NAAANN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPA468,11,12,0,13,0,0,0,0,0,10,0,0,12,5,5,12,12,12,10,10,10,10,12,12,LLLHLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA469,0,0,0,0,25,30,51,0,35,36,35,24,0,0,0,0,0,20,20,20,35,35,35,25,HLHHHL,ANAANN,Moderate Achievement,40,0.0033140016570008283,Emerging Performer
SIPA470,0,41,30,30,35,0,0,0,0,0,34,0,25,20,20,30,25,25,20,20,35,35,25,10,LLLLHL,NNNNAN,Low Achievement,40,0.0033140016570008283,Consistently Weak Performer
SIPA471,13,0,5,5,0,0,5,12,0,18,10,10,6,10,10,10,12,10,10,10,10,10,10,10,HHLHHH,NANAAA,Moderate Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA472,25,26,0,25,25,0,0,0,25,36,0,0,25,15,20,25,25,25,20,20,20,20,20,12,LLHHLL,NNAANN,Low Achievement,35,0.002899751449875725,Consistently Weak Performer
SIPA473,20,53,37,0,24,0,20,23,21,19,21,21,25,20,20,24,25,25,20,20,20,20,20,20,LHHHHH,NAANAA,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA474,19,21,31,20,20,20,16,20,20,19,25,12,20,20,20,20,20,20,15,15,20,20,24,20,LLLHHL,AAANAN,Moderate Achievement,25,0.002071251035625518,Target-Oriented Performer
SIPA475,0,6,5,0,0,5,10,11,0,0,11,12,6,5,5,7,7,7,10,10,10,10,10,5,HHLLHH,AANNAA,Moderate Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA477,0,0,12,30,0,12,0,35,30,41,20,20,15,10,10,20,20,25,10,10,10,10,20,20,LHHHHL,NAAANA,Moderate Achievement,35,0.002899751449875725,Consistently Strong Performer
SIPA478,0,37,0,30,34,0,0,0,32,0,35,0,25,15,20,30,25,25,20,20,35,35,25,15,LLHLHL,NNNNAN,Low Achievement,40,0.0033140016570008283,Consistently Weak Performer
SIPA479,13,14,0,0,12,0,13,0,0,0,11,0,5,10,10,15,15,15,10,10,10,10,10,10,LLLLHL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA480,7,0,0,8,0,0,9,0,0,12,0,10,6,5,5,6,6,6,10,10,10,10,10,10,HLLHLH,NNNANN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA481,33,0,16,0,20,0,13,12,0,10,0,12,20,12,12,15,20,20,10,10,10,10,12,12,HHLHLH,AANANA,Moderate Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA485,11,0,12,0,8,8,0,11,0,11,10,10,6,5,5,6,6,6,10,10,10,10,10,12,LHLHHH,NANANN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA487,14,24,19,25,0,22,20,0,0,11,0,12,26,20,20,25,20,20,15,15,20,20,20,12,HLLHLH,ANNNNN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA488,0,0,6,0,0,0,0,0,5,0,11,9,6,0,6,6,6,6,10,10,10,10,10,10,LLHLHH,NNNNAN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA489,15,13,20,20,20,20,20,20,22,0,20,19,20,15,15,20,20,20,10,10,20,20,20,20,HHHLHL,AAANAN,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer
SIPA490,0,25,0,20,0,19,20,0,0,20,0,0,20,10,15,20,20,25,15,15,20,20,20,12,HLLHLL,ANNANN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPA491,3,4,11,5,4,3,2,6,10,0,12,0,12,5,5,10,10,10,10,10,10,10,12,12,LHHLHL,NNNNAN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA496,0,7,13,0,12,0,18,17,20,0,13,7,12,5,5,10,12,12,12,12,20,20,20,12,HHHLHL,AAANNN,Moderate Achievement,20,0.0016570008285004142,Emerging Performer
SIPA497,0,0,10,0,0,5,0,0,6,0,12,0,10,10,10,10,10,12,10,10,10,10,10,10,LLHLHL,NNNNAN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA499,14,21,30,19,18,15,23,36,24,13,14,25,24,15,15,12,12,15,10,10,10,10,25,25,HHHLLH,AAAANN,Moderate Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA502,0,6,7,5,5,6,12,14,10,10,0,0,6,5,5,6,6,6,12,12,10,10,10,10,HHHHLL,AANANN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPA504,0,10,0,15,0,10,12,0,0,0,12,0,8,10,10,10,12,12,10,10,10,10,12,10,HLLLHL,ANNNAN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA508,11,0,4,0,6,6,11,11,10,0,10,5,6,5,5,5,5,5,12,12,10,10,10,10,HHHLHL,NNANAN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA514,0,10,13,0,0,0,11,0,10,0,10,0,10,5,5,5,5,5,10,10,10,10,10,10,HLHLHL,ANANNN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA515,25,16,17,21,0,21,12,13,11,0,12,12,12,15,12,20,24,24,10,10,10,10,12,12,LLLLHH,AAANAA,High Achievement,15,0.0012427506213753107,Target-Oriented Performer
SIPA516,16,13,15,11,12,0,12,12,30,16,17,15,6,8,8,10,12,12,10,10,10,10,15,15,HHHHHH,AAAAAN,High Achievement,20,0.0016570008285004142,Consistently Strong Performer
SIPA518,11,6,21,0,0,7,0,8,0,9,10,0,6,10,10,7,7,7,10,10,10,10,10,10,LHLHHL,NNNNNN,No Achievement,0,0.0,Fluctuating Performer
SIPA519,5,3,10,5,0,0,5,0,0,4,0,0,5,5,5,5,5,5,10,10,10,10,12,12,HLLHLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPA521,0,6,0,5,6,8,10,9,0,5,9,0,10,5,5,6,6,6,10,10,10,10,10,10,HHLLHL,ANNNNN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA522,0,0,0,12,0,13,27,28,29,23,25,25,15,20,20,12,20,12,20,20,20,20,25,25,HHHHHH,AAAAAA,High Achievement,35,0.002899751449875725,Consistently Strong Performer
SIPA523,0,0,0,12,10,5,16,21,13,3,0,2,10,12,12,12,10,12,10,10,10,10,12,12,HHHLLL,AAANNN,Moderate Achievement,20,0.0016570008285004142,Momentum Gainer
SIPA524,0,0,5,5,0,0,10,10,0,11,7,10,5,5,5,5,5,5,10,10,10,10,10,10,HHLHHH,ANNANN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA525,22,10,0,20,0,19,12,20,0,13,12,12,5,12,12,12,20,20,12,12,20,20,20,12,HHLHHL,AANNNN,Low Achievement,15,0.0012427506213753107,Emerging Performer
SIPA528,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,HHHHHL,AAAAAA,High Achievement,0,0.0,Consistently Strong Performer
SIPA536,12,0,12,0,0,0,12,12,12,11,12,12,10,6,6,6,6,6,10,10,10,10,12,12,HHHHHH,AAAANA,High Achievement,15,0.0012427506213753107,Consistently Strong Performer
SIPA538,0,7,0,0,0,6,7,0,0,11,0,10,0,5,5,5,5,5,10,10,10,10,10,10,HLLHLH,NNNANN,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPT001,25,29,52,42,51,40,35,30,51,30,0,30,50,30,35,40,50,40,45,45,50,50,50,30,LLHLLL,NNANNN,Low Achievement,40,0.0033140016570008283,Consistently Weak Performer
SIPT008,44,97,112,67,73,74,87,85,68,31,64,45,125,80,80,100,100,100,100,100,110,110,80,60,HLLLLL,NNNNNN,No Achievement,50,0.004142502071251036,Consistently Weak Performer
SIPT010,25,39,51,68,42,48,42,20,50,51,35,30,50,30,35,40,50,40,40,40,50,50,50,30,LLHHLL,ANNANA,Moderate Achievement,45,0.003728251864125932,Fluctuating Performer
SIPT014,109,99,105,124,84,84,87,81,43,71,100,52,150,120,120,120,130,130,150,150,150,150,100,100,LLLLHL,NNNNNN,No Achievement,75,0.006213753106876553,Consistently Weak Performer
SIPT017,0,0,0,0,0,0,0,0,0,0,14,29,0,0,0,0,0,0,0,0,0,0,10,10,HHHHHH,AAAANN,Moderate Achievement,0,0.0,Consistently Strong Performer
SIPT020,26,9,26,25,25,20,30,30,20,0,20,20,40,20,20,20,20,20,30,30,30,30,30,20,HHLLLL,ANNNNN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPT026,15,35,26,25,27,29,38,30,41,39,50,49,50,25,25,25,40,40,30,30,30,30,35,40,HLHHHH,ANAAAA,High Achievement,55,0.004556752278376139,Consistently Strong Performer
SIPT031,36,26,40,60,58,32,59,51,37,50,54,59,70,45,50,50,60,60,50,50,50,50,50,60,HHLHHH,AANNAN,Moderate Achievement,60,0.004971002485501243,Emerging Performer
SIPT035,69,55,54,40,43,40,36,37,26,15,35,45,80,40,50,60,60,60,60,60,60,60,60,40,LLLLHH,NNNNNA,Low Achievement,35,0.002899751449875725,Consistently Weak Performer
SIPT042,10,22,13,40,15,25,12,33,0,18,18,44,40,25,20,20,20,20,30,30,30,30,30,25,LHLLHH,NANNNA,Low Achievement,30,0.0024855012427506215,Fluctuating Performer
SIPT044,20,42,27,51,10,21,50,52,28,16,27,14,40,40,50,50,50,40,50,50,50,50,50,30,HHLLLL,NANNNN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPT047,79,72,78,84,81,81,74,76,52,40,62,42,140,80,120,120,120,120,110,110,110,110,110,90,LLLLLL,NNNNNN,No Achievement,50,0.004142502071251036,Consistently Weak Performer
SIPT056,61,61,0,72,61,31,61,60,50,51,26,40,75,60,60,60,60,60,60,60,50,50,50,50,HHHLLL,AAAANN,Moderate Achievement,45,0.003728251864125932,Target-Oriented Performer
SIPT061,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,10,0,0,0,0,0,0,0,LHHHHL,AAAAAA,High Achievement,0,0.0,Consistently Strong Performer
SIPT067,27,18,58,20,19,20,27,12,16,31,30,12,25,20,25,25,25,20,30,30,20,20,25,25,LLLHHL,NNNAAN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPT071,0,14,0,13,16,0,0,15,15,10,0,10,20,0,10,20,15,10,10,10,10,10,10,10,LHHHLH,NAANNA,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPT077,25,20,30,11,0,10,0,20,25,0,0,12,25,15,15,20,20,20,20,20,20,20,20,20,LHHLLH,NNANNN,Low Achievement,25,0.002071251035625518,Fluctuating Performer
SIPT080,0,10,50,15,20,0,23,23,0,20,9,0,20,20,20,20,20,10,22,22,20,20,25,20,HHLHLL,AANANN,Moderate Achievement,30,0.0024855012427506215,Fluctuating Performer
SIPT083,10,35,44,46,25,24,31,32,35,36,36,10,30,25,25,25,25,25,30,30,35,35,35,30,HLHHHL,AANAAN,Moderate Achievement,40,0.0033140016570008283,Consistently Strong Performer
SIPT089,0,10,0,20,11,0,0,13,0,0,11,0,20,10,10,10,10,10,10,10,10,10,10,15,LHLLHL,NANNAN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPT090,22,18,6,0,19,0,11,11,10,12,11,10,25,15,15,15,15,15,20,20,10,10,10,10,HHHHHH,NNAAAN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPT092,0,23,48,35,39,0,35,15,17,17,34,24,45,35,25,30,40,30,40,40,35,35,35,25,HLLLHH,NNNNNN,No Achievement,25,0.002071251035625518,Declining Performer
SIPT095,21,0,17,26,20,17,22,13,20,19,14,0,30,20,15,15,20,20,25,25,20,20,20,20,HLHLLL,NNANNN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPT098,12,27,12,0,25,27,0,10,0,10,10,20,30,20,20,20,20,25,25,25,20,20,20,20,LLLHLH,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPT099,0,30,40,27,0,11,0,0,20,0,5,0,25,30,30,35,40,30,20,20,20,20,22,20,LLHLLL,NNNNNN,No Achievement,20,0.0016570008285004142,Consistently Weak Performer
SIPT105,20,21,34,37,12,27,0,32,6,10,12,12,20,15,20,20,20,20,20,20,20,20,25,20,LHLLLL,NANNNN,Low Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPT109,32,30,0,30,30,15,31,30,35,0,31,0,30,30,30,30,25,30,30,30,30,30,35,30,HHHLHL,ANANNN,Low Achievement,35,0.002899751449875725,Emerging Performer
SIPT111,31,30,30,30,0,30,41,30,30,10,30,25,30,30,30,30,30,30,40,40,40,40,40,40,HHHLHL,ANNNNN,Low Achievement,35,0.002899751449875725,Emerging Performer
SIPT113,47,39,0,56,75,51,65,25,31,35,24,0,25,30,20,50,40,50,45,45,35,35,40,30,HLLLLL,ANNANN,Low Achievement,35,0.002899751449875725,Consistently Weak Performer
SIPT116,0,17,18,21,0,0,0,0,0,11,0,0,30,10,15,15,15,20,15,15,10,10,10,10,LLLLLL,NNNNNN,No Achievement,0,0.0,Consistently Weak Performer
SIPT120,10,11,31,0,20,15,20,19,0,0,25,0,30,20,20,25,25,30,20,20,20,20,25,10,HHLLHL,NNNNAN,Low Achievement,25,0.002071251035625518,Fluctuating Performer
SIPT121,35,20,61,38,0,30,41,40,30,40,30,0,35,30,30,40,40,25,40,40,35,35,40,30,HHLHLL,AANANN,Moderate Achievement,40,0.0033140016570008283,Fluctuating Performer
SIPT123,65,75,100,101,91,74,51,0,0,0,50,30,80,80,70,80,90,85,90,90,50,50,50,50,LLLLHH,NNNNNN,No Achievement,45,0.003728251864125932,Consistently Weak Performer
SIPT124,25,25,15,25,0,23,0,0,0,0,0,15,25,20,20,20,25,20,20,20,20,20,20,0,LLLLLH,NNNNNA,Low Achievement,20,0.0016570008285004142,Consistently Weak Performer
SIPT126,13,16,23,37,0,25,25,25,20,20,10,10,25,25,20,20,25,20,25,25,20,20,25,20,HHLLLL,ANAANN,Moderate Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPT127,0,0,0,10,15,0,0,0,10,11,0,0,20,10,10,10,15,10,10,10,10,10,10,10,LLHHLL,NNNANN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPT135,0,12,29,22,0,0,10,11,15,10,20,12,40,30,35,35,30,30,25,25,25,25,25,15,LLHHHH,NNNNNN,No Achievement,15,0.0012427506213753107,Emerging Performer
SIPT138,0,11,0,12,0,12,10,20,20,16,8,10,30,10,10,10,10,0,10,10,10,10,20,20,HHHHLL,NAAANN,Moderate Achievement,25,0.002071251035625518,Emerging Performer
SIPT140,56,25,19,41,20,55,25,42,25,16,35,15,50,50,50,50,50,50,55,55,50,50,50,35,LHLLHL,NNNNNN,No Achievement,25,0.002071251035625518,Consistently Weak Performer
SIPT143,30,29,32,0,25,25,25,26,36,52,25,29,30,25,25,25,25,25,25,25,35,35,35,30,HHHHLL,AAAANN,Moderate Achievement,40,0.0033140016570008283,Consistently Strong Performer
SIPT144,10,33,39,15,27,15,12,10,10,13,21,10,25,25,25,25,25,25,30,30,35,35,35,25,LLLLHL,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPT145,11,0,10,0,9,8,9,0,14,26,0,0,15,10,10,10,15,15,10,10,10,10,10,10,HLHHLL,NNAANN,Low Achievement,25,0.002071251035625518,Fluctuating Performer
