Code,Dealer Name,CS,AP,MP,Status
SIPA403,Sri Venkata Lakshmi Padmavathi Agencies,34.3,14,150,Non-Exclusive
SIPA424,Nagarjuna Traders Markapur,49.7,11,300,Non-Exclusive
SIPA429,Satya Sri Traders,13,7,60,Non-Exclusive
SIPA443,Sri Prasanna Traders,16.7,4,60,Non-Exclusive
SIPA448,Sri Sai Balaji Agencies (M),21.7,14,90,Non-Exclusive
SIPA113,Kota Hanumantha Prasad,70.3,14,45,Exclusive
SIPA114,Patchipulusu Steel & Cements,96.3,31,250,Exclusive
SIPA117,Sri Venkateswara Steels & Cements,429.8,214,0,Exclusive
SIPA118,Vinayaka Steel & Cements (New),30.2,40,100,Non-Exclusive
SIPA232,Sri Hari Hara Cement & Steels,24,6,60,Non-Exclusive
SIPA233,Sri Vigneswara Agencies,67.8,35,200,Non-Exclusive
SIPA252,Sri Raja Rajeswari Steels & Cement,18.6,9,180,Non-Exclusive
SIPA271,Sri Kishore Traders,13.4,4,60,Non-Exclusive
SIPA309,Basha Agencies,39.3,20,230,Non-Exclusive
SIPA347,Suraksha Steels & Cement,162.4,17,60,Non-Exclusive
SIPA384,Kusuma Iron And Hardwares,21.9,11,250,Non-Exclusive
SIPA386,Giri Traders,11.5,8,50,Non-Exclusive
SIPA389,Sri Sai Ram Brahmaiah Cuntry Wood Depot,22.3,16,120,Non-Exclusive
SIPA393,Lakshmi Steels,34.2,10,90,Non-Exclusive
SIPA430,Balaji Steels & Cements,39.2,14,230,Non-Exclusive
SIPA440,Sri Venkata Lakshmi Narasimha Steel And Cement,17.5,19,100,Non-Exclusive
SIPA441,Sri Venkateswara Iron And Cements,55.1,13,0,Non-Exclusive
SIPA442,M G B Traders,18.5,4,60,Non-Exclusive
SIPA445,Balaji Steels And Cements,37.2,19,100,Non-Exclusive
SIPA496,Jai Shankar Steel & Cement,56,10,250,Non-Exclusive
SIPA525,Heman Steels,41.5,12,100,Non-Exclusive
SIPA544,A S PETA STEELS & CEMENTS,#N/A,8,50,Non-Exclusive
SIPA061,Sri Durga Steels,83.2,13,70,Non-Exclusive
SIPA066,Srinivasa Steel Traders,333.4,28,300,Exclusive
SIPA073,Sri Krishna Steels,59.5,25,250,Exclusive
SIPA077,Lakshmi Srinivasa Traders,30.7,20,400,Exclusive
SIPA079,Lalitha Traders,26.2,22,400,Exclusive
SIPA164,Kamakshi Steels - (U),3,3,100,Non-Exclusive
SIPA217,Capital Building Enterprises,17.3,2,100,Non-Exclusive
SIPA260,Sri Srinivasa Agencies,35.3,7,80,Non-Exclusive
SIPA270,Sri Srinivasa Steels (T),7.7,14,90,Non-Exclusive
SIPA334,Dsr & Co,36.1,16,250,Non-Exclusive
SIPA336,Sri Raghavendra Steel Corporation,120.6,12,400,Non-Exclusive
SIPA354,B T Traders,28,8,70,Non-Exclusive
SIPA362,Vinayaka Steel And Tiles,30.2,8,100,Non-Exclusive
SIPA375,Parameswari Traders,38.2,12,70,Non-Exclusive
SIPA407,Sree Venkata Maruthi Traders,18.4,10,300,Non-Exclusive
SIPA452,Sri Sankar Steels,43.7,10,250,Non-Exclusive
SIPA453,KHASIM CEMENT & STEEL CORPORATION,33.5,10,80,Non-Exclusive
SIPA057,Sai Renuka Iron Traders,60,15,200,Exclusive
SIPA058,Sakala Venkateswarlu & Company,48.5,18,200,Non-Exclusive
SIPA064,Sri Venkata Nagasai Traders,34.1,8,60,Non-Exclusive
SIPA081,Sri Rama Iron & Hardware Stores,33.7,17,350,Non-Exclusive
SIPA174,Sai Venkata Lakshmi Steels,102.3,28,260,Exclusive
SIPA190,Sri Bhavani Iron & Tiles,18.3,12,40,Non-Exclusive
SIPA202,Mahesh Enterprises,71.2,50,350,Non-Exclusive
SIPA237,Sri Sai Durga Traders,31.6,12,40,Non-Exclusive
SIPA244,Sri Balaji Agencies,90.6,35,140,Non-Exclusive
SIPA276,Naga Sai Steel Corporation,23.8,10,120,Non-Exclusive
SIPA281,Maha Ganapathi Steels,75.7,11,650,Non-Exclusive
SIPA320,Vanama Appanna & Sons Iron Company,56.5,13,0,Non-Exclusive
SIPA338,Devi Steels,95.8,5,150,Non-Exclusive
SIPA339,Sri Balaji Agencies(B),103,25,100,Non-Exclusive
SIPA368,Naga Sai Associates,38.6,16,120,Non-Exclusive
SIPA410,Vasavi Steels,3.2,12,650,Non-Exclusive
SIPA454,SRI BHAVANI IRON STORES,136.1,37,250,Exclusive
SIPA455,SRINIVASA STEEL AGENCIES,82.2,2,650,Non-Exclusive
SIPA468,Supraja Steels (New),162.4,2,150,Non-Exclusive
SIPA474,Karthikeya Traders,88,21,260,Non-Exclusive
SIPA488,Lakshmi Venkateswara Traders,26.6,1,100,Non-Exclusive
SIPA489,Rajyalakshmi Agencies,30.7,20,300,Non-Exclusive
SIPA504,Sri Lakshmi Prasanna Enterprises,40.8,6,50,Non-Exclusive
SIPA516,Sai Rama Steel Corporation,30.3,10,70,Non-Exclusive
SIPA543,Steel Yard,64,5,0,Non-Exclusive
SIPA086,Chinni Krishna Steel Traders,36.8,6,400,Non-Exclusive
SIPA088,Maturi Purnachandra Rao Sons,27.1,8,300,Exclusive
SIPA094,Konakalla Steel Enterprises,336.8,162,5000,Exclusive
SIPA167,Maturi Steel & Cement,27,9,300,Non-Exclusive
SIPA255,Sri Siri Traders,28.1,2,250,Non-Exclusive
SIPA257,Sri Srinivasa Enterprises,16.4,8,70,Non-Exclusive
SIPA273,Vizag Steels,102,30,5000,Non-Exclusive
SIPA274,M V Steel Traders (C),38.2,14,220,Non-Exclusive
SIPA287,Sai Keerthi Enterprises,26.1,8,100,Non-Exclusive
SIPA327,Sri Krishna Cements & Iron,26.4,3,400,Non-Exclusive
SIPA331,M.B.S Traders,23.2,17,300,Non-Exclusive
SIPA342,Anjaneya Steel & Cements,28.2,11,300,Non-Exclusive
SIPA351,Mahalakshmi General Traders,15.7,5,60,Non-Exclusive
SIPA363,Raghu Ram Steel Traders,401.7,37,5000,Non-Exclusive
SIPA369,Sri Lakshmi Timber Depot,21,1,400,Non-Exclusive
SIPA427,Sri Vigneswara Steels,23.5,11,250,Non-Exclusive
SIPA481,Vardhan Traders,56.5,10,220,Non-Exclusive
SIPA482,Sri Lakshmi Kanakadurga Traders,15.1,5,80,Non-Exclusive
SIPA515,Vijayalakshmi Iron Stores,100,14,400,Non-Exclusive
SIPA519,Padmaja Enterprises,81,3,200,Non-Exclusive
SIPA542,Vamsi Krishna Fertilizers,56.5,2,50,Non-Exclusive
SIPA187,Karthikeya Enterprises,27.7,6,50,Non-Exclusive
SIPA249,Manikanta Steel Cement And Hardware,37.8,10,80,Non-Exclusive
SIPA315,Vemuri Steels,60.5,16,80,Non-Exclusive
SIPA317,Challa Venkata Subbaiah And Company,27.6,6,5000,Exclusive
SIPA332,Sai Sudha Steels,110.4,12,5000,Non-Exclusive
SIPA344,Sriram Steel And Cement,100.7,6,65,Non-Exclusive
SIPA387,Sri Srinivasa Steel Syndicate,19.1,13,100,Non-Exclusive
SIPA449,BALAJI BUILDING MATERIALS,7.8,4,60,Non-Exclusive
SIPA465,R S Steel Syndicate,591.5,24,5000,Exclusive
SIPA491,Parvathi Parameswara Agencies,114.4,5,150,Non-Exclusive
SIPA302,Sesha Sai Traders,60.7,6,500,Non-Exclusive
SIPA308,Mahalakshmi Steel Enterprises,46.8,15,600,Non-Exclusive
SIPA346,Onkar Sri Jagannadh Traders,51.4,11,100,Non-Exclusive
SIPA422,Kanaka Durga Traders,31.6,2,1200,Non-Exclusive
SIPA459,LAKSHMI NARASIMHA AGENCIES (NEW),61.7,1,200,Non-Exclusive
SIPA477,Pavan Traders,101.8,15,1000,Non-Exclusive
SIPA498,Sri Lakshmi Ganapathi Steels,103,6,300,Non-Exclusive
SIPA523,Sri Lakshmi Durga Agencies,108.4,11,400,Non-Exclusive
SIPA044,Jai Vasavi Steel Syndicate,318.9,50,1000,Exclusive
SIPA373,S S Enterprises,38.7,24,750,Exclusive
SIPA173,Jai Vasavi Steel Syndicate (V),45.9,19,1000,Non-Exclusive
SIPA319,Gayatri Steels,99.7,27,200,Non-Exclusive
SIPA414,Sri Lakshmi Narasimha Traders (M),73.9,13,400,Non-Exclusive
SIPA432,Sri Mangal Enterprises,37.6,2,600,Non-Exclusive
SIPA537,Varalakshmi Traders,56.5,2,150,Non-Exclusive
SIPA049,Jayalakshmi Steels,202.5,32,2000,Exclusive
SIPA464,Sri Vasudeva Traders,135.5,2,300,Non-Exclusive
SIPA522,Sri Srinivasa Trading,55.9,13,2000,Non-Exclusive
SIPA350,Sri Venkata Durga Traders,159.4,6,150,Non-Exclusive
SIPA352,Parameswari Steel Traders,201.3,4,10000,Non-Exclusive
SIPA431,Svn Siri Enterprises,65.5,5,4000,Non-Exclusive
SIPA457,SRI VIJAYALAKSHMI STEEL ENTERPRISES,3009.4,9,2000,Non-Exclusive
SIPA148,Sri Sita Mahalaxmi Enterprises,55.2,32,500,Non-Exclusive
SIPA151,Arunodaya Steel Corporation,691.3,20,3000,Non-Exclusive
SIPA163,Sri Vijayalaxmi Enterprises,99.8,33,200,Exclusive
SIPA497,Sri Srinivasa Steels,46.1,2,100,Non-Exclusive
SIPA540,Arunodaya Steel Profiles,691.3,3,100,Exclusive
SIPA208,Suresh And Ramesh Traders,162.4,9,100,Non-Exclusive
SIPA371,Srinivasa Trading Co,151.5,18,250,Non-Exclusive
SIPA421,Sri Satyanarayana Traders,102.7,12,500,Non-Exclusive
SIPA425,Maturu Rama Rao Steel India Private Limited,510.3,26,2500,Non-Exclusive
SIPA451,JAYASHANKAR IRON AND PAINTS,157.9,29,400,Exclusive
SIPA520,Vamsadhara Steel Profiles,56.5,8,2500,Non-Exclusive
SIPA555,Sreenidhi Steels (Gooty),215.2,10,200,Non-Exclusive
SIPA552,Srinivas Kamisetti,11.6,7,550,Non-Exclusive
SIPA553,Sri Siva Durga Padalamma Agencies,55.2,1,250,Non-Exclusive
SIPA554,Sri Krishna Teja General Stores,59.5,1,50,Non-Exclusive
SIPA548,Sri Sampath Steel Traders,20.4,3,800,Non-Exclusive
SIPA549,A R Wire Products Pvt Ltd,#N/A,1,5000,Non-Exclusive
SIPA551,Sri Vijayalakshmi Enterprises J R Puram,900.1,1,70,Non-Exclusive
SIPA328,ADITYA ENTERPRISES NIDADAVOLE,35,3,150,Non-Exclusive
SIPA558,Lakshmi Enterprises,70.5,6,50,Non-Exclusive
SIPA559,Vijaya Krishna Iron & Cement Agencies,31.3,8,350,Non-Exclusive
SIPA556,Venkateswara Hardware Stores,102.8,5,70,Non-Exclusive
SIPA557,Kalyan Steels,25,10,5000,Non-Exclusive
SIPA560,Sri Lakshmi Ganesh Steels,103,6,50,Non-Exclusive
SIPA566,Dhanalaxmi Iron And General Stores ,30,2,80,Non-Exclusive
SIPA563,Sri Bramaramba Traders,61.7,1,40,Non-Exclusive
SIPA571,Sree Ganesh Traders,8.7,11,150,Non-Exclusive
SIPA562,Rampuram Traders,21.1,2,55,Non-Exclusive
SIPA573,Sri Lakshmi Venkateswara Fertilisers,20,7,25,Non-Exclusive
SIPA574,Shanvi Trdaers,60.7,5,70,Non-Exclusive
SIPA577,Sree Balaji Iron & Hardware,8.7,14,250,Non-Exclusive
SIPA578,Sri Siva Bala Enterprises,55.2,2,30,Non-Exclusive
SIPA565,Malli Enterprises K,42.6,6,60,Non-Exclusive
SIPA579,Image Traders,24.4,5,50,Non-Exclusive
SIPA580,Noor Traders,20,10,30,Non-Exclusive
SIPA581,Vigneswara Enterprises,31.3,13,100,Non-Exclusive
SIPA582,Swathi Hardwares & Cements,440.7,6,100,Non-Exclusive
SIPA584,Dhanalakshmi Enterprises (New),30,6,650,Non-Exclusive
SIPA590,Labbaik Steels,31.5,30,300,Exclusive
SIPA591,GVR Traders,50.2,14,150,Non-Exclusive
SIPA592,R K Agencies,101.8,15,3000,Non-Exclusive
SIPA593,Venkatalakshmi Traders,372.1,13,120,Non-Exclusive
SIPA594,Sri Sambasiva Enterprises,20.4,5,100,Non-Exclusive
SIPA595,Sandeep Enterprises,48.5,10,100,Non-Exclusive
SIPA596,Sree Lakshmi Devi Traders,8.7,12,250,Non-Exclusive
SIPA598,Sai Baba Traders,10,20,1200,Exclusive
SIPA597,Suramma Steel & Cement,162.4,20,300,Non-Exclusive
SIPA599,New Anantapur Steels and Cements,49.7,13,2500,Non-Exclusive
SIPA601,D S R Cement Marketing,36.8,8,0,Non-Exclusive
SIPA603,Sri Kanaka Mahalakshmi Enterprises,186.9,5,100,Non-Exclusive
